"game_id","Date","home_team_id","away_team_id","home_score","away_score"
"NPqxXGajq9",2021-04-24,"eVq3ya6MWO","jYQJ19EqGR",1,1
"9vQ283Ar5K",2021-04-24,"0KPqjA456v","mKAqBBmqbg",3,1
"XVqK8XxaQ0",2021-04-24,"kRQabn8MKZ","lgpMOvnQzy",2,2
"4JMAVNAD5K",2021-04-24,"vzqoOgNqap","APk5LGOMOW",2,2
"4wM4wWAdQj",2021-04-24,"Vj58weDM8n","NWMWlBK5lz",5,0
"odMX96x05Y",2021-04-23,"Z2vQ1xlqrA","jYQJ8EW5GR",1,1
"OlMlaXNN5L",2021-04-19,"lgpMOvnQzy","WBLMvYAQxe",1,0
"KXMeYDoBM6",2021-04-18,"mvzqoLZQap","9z5k7Yg5A3",0,0
"9Yqd87n8qv",2021-04-18,"zeQZkL1MKw","kaDQ0wRqEv",2,3
"2vQ1lwA0qr",2021-04-18,"X0Oq66zq6D","19vQ2095K6",2,2
"7vQ7W6EzQD",2021-04-18,"vzqoOgNqap","NWMWlBK5lz",2,2
"a35rXJaGQL",2021-04-18,"a2lqRX2Mr0","Z2vQ1xlqrA",1,2
"eV5DNDbOQK",2021-04-18,"mKAqBBmqbg","pzeQZ6xQKw",0,0
"Vj58gOAmM8",2021-04-18,"EKXMeX3Q64","Vj58weDM8n",2,1
"raMyY6a2Md",2021-04-17,"eVq3ya6MWO","gpMOLwl5zy",2,0
"gjMN30xB5K",2021-04-17,"jYQJ8EW5GR","KAqBN0Vqbg",0,0
"Pk5LJ2xNQO",2021-04-17,"APk5LGOMOW","kRQabn8MKZ",4,2
"EGMPWpxAQa",2021-04-17,"jYQJ19EqGR","kRQand1MKZ",4,0
"315Vogxbq9",2021-04-17,"YgOMngl5wN","0KPqjA456v",2,1
"Vj58m7jEq8",2020-12-13,"mvzqoLZQap","jYQJ19EqGR",3,0
"NPqxXaNZq9",2020-12-08,"jYQJ19EqGR","kRQand1MKZ",3,2
"9vQ28Awx5K",2020-12-06,"mvzqoLZQap","19vQ2095K6",1,0
"odMX9xAo5Y",2020-12-04,"Z2vQ1xlqrA","kRQand1MKZ",0,3
"KXMeYoy1M6",2020-12-02,"jYQJ19EqGR","mKAqBBmqbg",1,0
"9Yqd8nymqv",2020-11-30,"mvzqoLZQap","vzqoOgNqap",2,0
"Vj58gA6rM8",2020-11-29,"jYQJ8EW5GR","19vQ2095K6",1,3
"OlMlaNyR5L",2020-11-25,"jYQJ19EqGR","eVq3ya6MWO",3,1
"a35rXaxwQL",2020-11-25,"9z5k7Yg5A3","19vQ2095K6",0,2
"2vQ1lAJwqr",2020-11-24,"kRQabn8MKZ","vzqoOgNqap",0,1
"eV5DNbvJQK",2020-11-23,"WBLMvYAQxe","mKAqBBmqbg",1,1
"gjMN3x2p5K",2020-11-23,"kRQand1MKZ","pzeQZ6xQKw",3,0
"315VoxAVq9",2020-11-22,"Z2vQ1xlqrA","0KPqjA456v",3,3
"vzqo2DyB5a",2020-11-21,"mvzqoLZQap","a2lqRX2Mr0",3,2
"gOMnX7NBqw",2020-11-21,"jYQJ8EW5GR","Vj58weDM8n",1,1
"gpMOBYA7Qz",2020-11-21,"vzqoOgNqap","zeQZkL1MKw",3,0
"0Oq6BAgzq6",2020-11-20,"19vQ2095K6","APk5LGOMOW",2,1
"2lqRG7bDQr",2020-11-08,"jYQJ19EqGR","0KPqjA456v",4,1
"7VqGD32XQv",2020-11-08,"kRQand1MKZ","mKAqBBmqbg",3,0
"KAqBPkl7Mb",2020-11-08,"YgOMngl5wN","pzeQZ6xQKw",1,2
"NWMWRoBzQl",2020-11-08,"eVq3ya6MWO","WBLMvYAQxe",1,1
"vzqo2JXv5a",2020-11-08,"a2lqR4JMr0","Z2vQ1xlqrA",0,2
"wvq9GXVlMW",2020-11-08,"lgpMOvnQzy","kaDQ0wRqEv",3,0
"0Oq6BLR7q6",2020-11-08,"a2lqRX2Mr0","kRQabn8MKZ",2,1
"0x5gXW7jq7",2020-11-08,"zeQZkL1MKw","NWMWlBK5lz",2,1
"eVq3JyOg5W",2020-11-08,"EKXMeX3Q64","APk5LGOMOW",2,3
"gOMnXYexqw",2020-11-08,"9z5k7Yg5A3","19vQ2095K6",2,0
"gpMOBeZRQz",2020-11-08,"jYQJ8EW5GR","vzqoOgNqap",2,3
"jYQJlgjE5G",2020-11-08,"X0Oq66zq6D","Vj58weDM8n",3,4
"Oa5wXd4Xq1",2020-11-08,"mvzqoLZQap","KAqBN0Vqbg",2,1
"KPqjAbaP56",2020-11-05,"kaDQ0wRqEv","jYQJ19EqGR",1,1
"Oa5wX06Aq1",2020-11-05,"0KPqjA456v","eVq3ya6MWO",3,2
"7VqGD3pYQv",2020-11-05,"WBLMvYAQxe","pzeQZ6xQKw",0,1
"Oa5wX9pDq1",2020-11-05,"vzqoOgNqap","mKAqBBmqbg",0,1
"p6qbrgv3q0",2020-11-05,"kRQand1MKZ","X0Oq66zq6D",2,2
"OlMlaB0R5L",2020-11-05,"jYQJ8EW5GR","mvzqoLZQap",2,1
"N6MmXWdwQE",2020-11-02,"kaDQ0wRqEv","a2lqR4JMr0",2,1
"e7MzXZKPqr",2020-11-02,"WBLMvYAQxe","lgpMOvnQzy",1,0
"ljqEyJeYqx",2020-11-02,"pzeQZ6xQKw","jYQJ19EqGR",3,1
"4JMAVkrP5K",2020-11-02,"APk5LGOMOW","jYQJ8EW5GR",0,1
"BLMvX6A8qx",2020-11-02,"19vQ2095K6","EKXMeX3Q64",4,3
"p6qbrgVaq0",2020-11-02,"kRQabn8MKZ","zeQZkL1MKw",2,1
"4wM4wEnBQj",2020-11-02,"Vj58weDM8n","a2lqRX2Mr0",5,2
"kRQa1WkOQK",2020-11-02,"KAqBN0Vqbg","NWMWlBK5lz",2,0
"zeQZVeGNQK",2020-11-01,"mvzqoLZQap","9z5k7Yg5A3",2,1
"xW5pXw205g",2020-11-01,"vzqoOgNqap","X0Oq66zq6D",1,1
"KPqjAwrN56",2020-10-31,"mKAqBBmqbg","YgOMngl5wN",3,0
"aDQ0rlgE5E",2020-10-29,"0KPqjA456v","a2lqR4JMr0",2,0
"NPqxXAZYq9",2020-10-29,"eVq3ya6MWO","YgOMngl5wN",2,1
"9vQ2846e5K",2020-10-29,"WBLMvYAQxe","kaDQ0wRqEv",5,2
"odMX9EYG5Y",2020-10-29,"mKAqBBmqbg","zeQZkL1MKw",2,1
"eV5DNkdmQK",2020-10-29,"EKXMeX3Q64","mvzqoLZQap",1,0
"KXMeY3N3M6",2020-10-29,"kRQand1MKZ","pzeQZ6xQKw",2,1
"a35rXB0KQL",2020-10-28,"NWMWlBK5lz","Z2vQ1xlqrA",0,1
"jYQJlYyB5G",2020-10-28,"kRQabn8MKZ","Vj58weDM8n",0,1
"OlMlaB8A5L",2020-10-28,"jYQJ8EW5GR","KAqBN0Vqbg",4,1
"Vj58glkwM8",2020-10-28,"9z5k7Yg5A3","X0Oq66zq6D",2,1
"2vQ1ldGLqr",2020-10-28,"a2lqRX2Mr0","19vQ2095K6",1,0
"7vQ7WxA8QD",2020-10-28,"lgpMOvnQzy","jYQJ19EqGR",0,2
"raMyYeDJMd",2020-10-27,"APk5LGOMOW","vzqoOgNqap",0,1
"gjMN36N45K",2020-10-25,"eVq3ya6MWO","kaDQ0wRqEv",2,0
"Pk5LJ6PPQO",2020-10-25,"lgpMOvnQzy","0KPqjA456v",2,1
"315Vo7dGq9",2020-10-25,"a2lqR4JMr0","mKAqBBmqbg",0,0
"9z5kK3GY5A",2020-10-25,"Z2vQ1xlqrA","pzeQZ6xQKw",4,0
"2lqRG71DQr",2020-10-25,"YgOMngl5wN","mvzqoLZQap",1,1
"0Oq6BLa7q6",2020-10-24,"Vj58weDM8n","APk5LGOMOW",3,1
"gOMnXYnxqw",2020-10-24,"NWMWlBK5lz","kRQand1MKZ",0,1
"gpMOBeyRQz",2020-10-24,"X0Oq66zq6D","a2lqRX2Mr0",2,2
"vzqo2Jov5a",2020-10-24,"9z5k7Yg5A3","kRQabn8MKZ",5,0
"7VqGD3oXQv",2020-10-24,"KAqBN0Vqbg","EKXMeX3Q64",1,2
"0x5gXW3jq7",2020-10-24,"zeQZkL1MKw","jYQJ8EW5GR",2,1
"wvq9GXZlMW",2020-10-24,"vzqoOgNqap","19vQ2095K6",1,1
"EGMPWR73Qa",2020-10-23,"jYQJ19EqGR","WBLMvYAQxe",1,1
"NWMWRoezQl",2020-10-21,"vzqoOgNqap","mKAqBBmqbg",3,0
"gOMnXYnBqw",2020-10-19,"19vQ2095K6","9z5k7Yg5A3",1,2
"eVq3Jy0g5W",2020-10-19,"kaDQ0wRqEv","lgpMOvnQzy",1,0
"KAqBPkg7Mb",2020-10-19,"0KPqjA456v","jYQJ19EqGR",0,0
"Oa5wXdyXq1",2020-10-19,"WBLMvYAQxe","eVq3ya6MWO",1,1
"2lqRG71xQr",2020-10-19,"kRQand1MKZ","YgOMngl5wN",2,2
"0Oq6BLazq6",2020-10-18,"NWMWlBK5lz","EKXMeX3Q64",1,2
"vzqo2JoB5a",2020-10-18,"kRQabn8MKZ","KAqBN0Vqbg",1,0
"7VqGD3oYQv",2020-10-18,"a2lqRX2Mr0","jYQJ8EW5GR",1,1
"gpMOBey7Qz",2020-10-18,"mvzqoLZQap","Vj58weDM8n",3,1
"NWMWRoeZQl",2020-10-17,"APk5LGOMOW","zeQZkL1MKw",2,1
"KAqBPkgZMb",2020-10-17,"X0Oq66zq6D","Z2vQ1xlqrA",2,2
"jYQJlgkd5G",2020-10-15,"kaDQ0wRqEv","0KPqjA456v",0,4
"Xj5Yk42EQb",2020-10-15,"lgpMOvnQzy","eVq3ya6MWO",2,1
"e7MzXZ17qr",2020-10-15,"a2lqR4JMr0","WBLMvYAQxe",2,1
"ljqEyJONqx",2020-10-15,"mKAqBBmqbg","Z2vQ1xlqrA",1,0
"BLMvX6N7qx",2020-10-15,"YgOMngl5wN","vzqoOgNqap",1,3
"KPqjAw2E56",2020-10-15,"EKXMeX3Q64","9z5k7Yg5A3",2,2
"XVqK82V2Q0",2020-10-15,"zeQZkL1MKw","KAqBN0Vqbg",1,1
"4JMAVkW95K",2020-10-14,"NWMWlBK5lz","mvzqoLZQap",2,1
"4wM4wEjlQj",2020-10-14,"jYQJ8EW5GR","Vj58weDM8n",1,1
"xW5pXwR65g",2020-10-14,"APk5LGOMOW","19vQ2095K6",2,3
"zeQZVexjQK",2020-10-14,"kRQabn8MKZ","a2lqRX2Mr0",1,1
"odMX9Eoo5Y",2020-10-12,"WBLMvYAQxe","0KPqjA456v",3,0
"2vQ1ldowqr",2020-10-11,"X0Oq66zq6D","EKXMeX3Q64",2,1
"9Yqd8wrmqv",2020-10-11,"Z2vQ1xlqrA","vzqoOgNqap",2,1
