"player_id","team_id","general_position","minutes_played","action_type","goals_added_raw","goals_added_above_avg","count_actions","Date"
"gpMOV4DQzy","APk5LGOMOW","GK",98,"Claiming",0.0198,0.0223,6,2013-03-16
"gpMOV4DQzy","APk5LGOMOW","GK",98,"Fielding",0.0318,0.0387,18,2013-03-16
"gpMOV4DQzy","APk5LGOMOW","GK",98,"Handling",-0.0679,-0.067,2,2013-03-16
"gpMOV4DQzy","APk5LGOMOW","GK",98,"Passing",0.0272,-0.0383,33,2013-03-16
"gpMOV4DQzy","APk5LGOMOW","GK",98,"Shotstopping",-0.1674,-0.1439,3,2013-03-16
"gpMOV4DQzy","APk5LGOMOW","GK",98,"Sweeping",0.0047,0.0038,2,2013-03-16
"KAqBw4mQbg","mvzqoLZQap","GK",95,"Claiming",0.0094,0.0113,1,2013-03-16
"KAqBw4mQbg","mvzqoLZQap","GK",95,"Fielding",-0.0026,0.0035,11,2013-03-16
"KAqBw4mQbg","mvzqoLZQap","GK",95,"Handling",0.015,0.0171,4,2013-03-16
"KAqBw4mQbg","mvzqoLZQap","GK",95,"Passing",0.0623,-0.0024,35,2013-03-16
"KAqBw4mQbg","mvzqoLZQap","GK",95,"Shotstopping",-0.2239,-0.1954,5,2013-03-16
"KAqBw4mQbg","mvzqoLZQap","GK",95,"Sweeping",0.0058,0.0047,4,2013-03-16
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",98,"Claiming",0.0013,0.0035,1,2013-03-16
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",98,"Fielding",0.0021,0.0083,9,2013-03-16
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",98,"Handling",-0.0405,-0.0391,1,2013-03-16
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",98,"Passing",0.063,-0.0017,21,2013-03-16
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",98,"Shotstopping",0.0495,0.0776,1,2013-03-16
"KPqjB6Rq6v","Z2vQ1xlqrA","GK",98,"Sweeping",0.0697,0.07,4,2013-03-16
"vzqoOapqap","a2lqR4JMr0","GK",99,"Claiming",0,0.0021,0,2013-03-16
"vzqoOapqap","a2lqR4JMr0","GK",99,"Fielding",0.006,0.0124,18,2013-03-16
"vzqoOapqap","a2lqR4JMr0","GK",99,"Handling",0.1068,0.1125,5,2013-03-16
"vzqoOapqap","a2lqR4JMr0","GK",99,"Passing",0.1468,0.0847,38,2013-03-16
"vzqoOapqap","a2lqR4JMr0","GK",99,"Shotstopping",0.1184,0.1494,6,2013-03-16
"vzqoOapqap","a2lqR4JMr0","GK",99,"Sweeping",-0.0078,-0.0091,2,2013-03-16
"vzqoWbkqap","a2lqRX2Mr0","GK",95,"Claiming",-8e-04,0.0012,1,2013-03-16
